0104,61600105
732BR-336,A14M850055
732BR0001,A13G850002
732BR0002,A14E850036
732BR0003,A13G850003
732BR0004,A13G850004
732BR0005,A14E850039
732BR0006,A14E850005
732BR0007,A14E850038
732BR0008,A13B843011
732BR0009,A14E850025
732BR0010,A14E850035
732BR0011,A14E850033
732BR0012,A13B843014
732BR0013,A14G850011
732BR0014,A14E850028
732BR0015,A14G850061
732BR0016,A14G850010
732BR0017,A14G850060
732BR0018,A14E850030
732BR0019,A14E850032
732BR0020,A14G850018
732BR0021,A14E850031
732BR0022,A14G850008
732BR0023,A14G850019
732BR0024,A14G850037
732BR0025,A14G850027
732BR0026,A14E850017
732BR0027,A15B850004
732BR0028,A14G850038
732BR0029,A14G850009
732BR0030,A14H850017
732BR0031,A14G850047
732BR0032,A14G850046
732BR0033,A14G850007
732BR0034,A14G850006
732BR0035,A14H850020
732BR0036,A13D850001
732BR0037,A14H850019
732BR0038,A14H850018
732BR0039,A14H850006
732BR0040,A14H850001
732BR0041,A14H850011
732BR0042,A14H850008
732BR0043,A14H850012
732BR0044,A14H850005
732BR0045,A14H850010
732BR0046,A14G850040
732BR0047,A14G850035
732BR0048,A14G850017
732BR0049,A14G850052
732BR0050,A14G850042
732BR0051,A14G850041
732BR0052,A14H850004
732BR0053,A14G850036
732BR0054,A14G850016
732BR0056,A14H850003
732BR0057,A14H850007
732BR0058,A14H850023
732BR0059,A14H850009
732BR0060,A14G850064
732BR0061,A14H850028
732BR0062,A14G850065
732BR0063,A14G850053
732BR0064,A14G850062
732BR0065,A14G850063
732BR0066,A14G850059
732BR0067,A14G850014
732BR0068,A14H850029
732BR0069,A14G850058
732BR0070,A14G850012
732BR0071,A14H850022
732BR0072,A14G850023
732BR0073,A14F850002
732BR0074,A14G850024
732BR0075,A14G850043
732BR0076,A14G850051
732BR0077,A14G850034
732BR0078,A14G850031
732BR0079,A14G850050
732BR0080,A14E850034
732BR0081,A14G850049
732BR0082,A14E850020
732BR0083,A14G850056
732BR0084,A14G850030
732BR0085,A14G850021
732BR0086,A14G850057
732BR0087,A14H850035
732BR0088,A14G850066
732BR0089,A14H850034
732BR0090,A14G850067
732BR0091,A14G850048
732BR0092,A14G850022
732BR0093,A14G850028
732BR0095,A14H850037
732BR0096,A14G850020
732BR0097,A14G850029
732BR0098,A14H850031
732BR0099,A14E850022
732BR0100,A14E850019
732BR0101,A14E850026
732BR0102,A14E850016
732BR0103,A14G850044
732BR0104,A14J850010
732BR0105,A14J850009
732BR0106,A14H850033
732BR0107,A14J850011
732BR0108,A14J850008
732BR0109,A14G850045
732BR0110,A14E850013
732BR0111,A14H850027
732BR0112,A14J850043
732BR0113,A14J850069
732BR0114,A14J850068
732BR0115,A14J850028
732BR0116,A14J850007
732BR0117,A14H850025
732BR0118,A14J850012
732BR0119,A14J850070
732BR0120,A14J850042
732BR0121,A14J850006
732BR0122,A14J850067
732BR0123,A14J850013
732BR0124,A14J850081
732BR0125,A14H850021
732BR0126,A14J850026
732BR0127,A14J850029
732BR0128,A14G850032
732BR0129,A14J850037
732BR0130,A14J850082
732BR0131,A14J850086
732BR0132,A14G850033
732BR0133,A14J850027
732BR0134,A14J850090
732BR0135,A14J850088
732BR0136,A14J850087
732BR0137,A14J850074
732BR0138,A14J850073
732BR0139,A14G850055
732BR0140,A14H850030
732BR0141,A14J850100
732BR0142,A14J850099
732BR0143,A14J850072
732BR0144,A14J850085
732BR0145,A14J850078
732BR0146,A14E850006
732BR0147,A14J850097
732BR0148,A14J850079
732BR0149,A14J850092
732BR0150,A14J850071
732BR0151,A14J850083
732BR0152,A14J850084
732BR0153,A14J850098
732BR0154,A14J850091
732BR0155,A14J850102
732BR0156,A14J850077
732BR0157,A14J850080
732BR0158,A14J850104
732BR0159,A14J850101
732BR0160,A14H850013
732BR0161,A14J850075
732BR0162,A14H850015
732BR0163,A14H850014
732BR0164,A14H850016
732BR0165,A14J850063
732BR0166,A14J850018
732BR0167,A14J850021
732BR0168,A14J850062
732BR0169,A14J850059
732BR0170,A14J850041
732BR0171,A14J850052
732BR0172,A14E850029
732BR0173,A14J850056
732BR0174,A14J850066
732BR0175,A14J850019
732BR0176,A14J850064
732BR0177,A14J850005
732BR0178,A14J850020
732BR0179,A14J850015
732BR0180,A14J850076
732BR0181,A14E850018
732BR0182,A14J850054
732BR0183,A14J850053
732BR0184,A14J850057
732BR0185,A14J850095
732BR0186,A14J850014
732BR0187,A14J850061
732BR0188,A14J850065
732BR0189,A14J850004
732BR0190,A14J850023
732BR0191,A14J850050
732BR0192,A14J850038
732BR0193,A14J850051
732BR0194,A14J850049
732BR0195,A14J850093
732BR0196,A14J850094
732BR0197,A14J850103
732BR0198,A14J850060
732BR0199,A14J850017
732BR0200,A14J850024
732BR0201,A14J850030
732BR0202,A14K850047
732BR0203,A14J850079
732BR0204,A14H850002
732BR0205,A14K850046
732BR0206,A14J850047
732BR0207,A14J850033
732BR0208,A14K850043
732BR0209,A14J850096
732BR0210,A14K850049
732BR0211,A14J850055
732BR0212,A14J850044
732BR0213,A13G850008
732BR0215,A14J850022
732BR0216,A13F850002
732BR0217,A14J850046
732BR0218,A14K850005
732BR0219,A14K850007
732BR0220,A14K850037
732BR0221,A14E850008
732BR0222,A14J850003
732BR0223,A14K850022
732BR0224,A14K850042
732BR0225,A14K850029
732BR0226,A14K850030
732BR0227,A14K850013
732BR0228,A14K850068
732BR0229,A14K850017
732BR0230,A14K850018
732BR0231,A14K850024
732BR0232,A14K850072
732BR0233,A14K850054
732BR0234,A14K850065
732BR0235,A14K850057
732BR0236,A14K850071
732BR0237,A14K850023
732BR0238,A14K850035
732BR0239,A14K850010
732BR0240,A14K850070
732BR0241,A14K850003
732BR0242,A14K850028
732BR0243,A14K850066
732BR0244,A14K850014
732BR0245,A14K850002
